id_comentario, num_cuenta, comentario,fecha_comen
1,4136713,no se envió el correo. es para rellenar el cuadro,2017-03-10
2,4136721,"no se envió correo, el que esta es para rellenar,",2017-03-09
3,4136776,no se envió el correo. es para rellenar el cuadro,2017-03-05
4,4151619,no se envió el correo. es para rellenar el cuadro,2017-03-09
5,4152055,no se envía correo. es para rellenar el cuadro.,2017-03-09
6,4152489,no se envió el correo. es para rellenar el cuadro,2017-03-07
7,4152558,no se envió el correo. es para rellenar el cuadro,2017-03-11
8,4152641,no se envía correo. es para rellenar el cuadro.,2017-03-10
9,4152694,"en está25. no se envió correo, el que esta es para rellenar.",2017-03-11
10,4152781,no se envía correo. es para rellenar el cuadro.,2017-03-08
11,4153402,falta firma acompañante,2017-03-10
12,4154707,finalizar,2017-03-10
13,4154721,huella y sello sobre foto,2017-03-10
14,4154889,finalizar,2017-03-13
15,4155826,finalizar,2017-03-10
16,4155858,finalizar,2017-03-12
17,4155874,finalizar,2017-03-11
18,4155891,finalizar,2017-03-15
19,4162807,no se envió el correo. es para rellenar el cuadro,2017-03-12
20,4162908,finalizar,2017-03-11
21,4162914,duplicado,2017-03-10
22,4162914,no se envía correo. es para rellenar el cuadro.,2017-03-10
23,4162973,finalizar,2017-03-14
24,4163017,seg 33,2017-03-10
25,4163123,finalizar,2017-03-12
26,4163271,finalizar,2017-03-14
27,4163298,finalizar,2017-03-14
28,4163299,finalizar,2017-03-12
29,4163303,finalizar,2017-03-11
30,4163313,finalizar,2017-03-13
31,4163408,finalizar,2017-03-14
32,4163513,finalizar,2017-03-15
33,4163585,finalizar,2017-03-13
34,4163744,triplicado,2017-03-17
35,4163750,finalizar,2017-03-12
36,4163765,finalizar,2017-03-14
37,4163832,part - ref,2017-03-14
38,4164029,finalizar,2017-03-15
39,4164038,finalizar,2017-03-14
40,4164095,referente,2017-03-16
41,4164115,referente,2017-03-15
42,4164124,referente,2017-03-18
43,4164149,finalizar,2017-03-15
44,4164178,finalizar,2017-03-15
45,4164343,finalizar,2017-03-17
46,4164925,sello,2017-03-17
47,4165020,laboral,2017-03-19
48,4165140,quintuplica.,2017-03-23
49,4165336,finalizar,2017-03-21
50,4165360,finalizar,2017-03-22
51,4165825,finalizar,2017-03-23
52,4165828,finalizar,2017-03-20
53,4166644,finalizar,2017-03-27
54,4166731,finalizar,2017-03-26
55,4166820,laboral,2017-03-23
